drug,region,region_id,wdeg_lo,wdeg_med,wdeg_hi,closeness_lo,closeness_med,closeness_hi,betweenness_lo,betweenness_med,betweenness_hi
KET,Anteroventral periventricular nucleus,272,103.54601701996145,133.10242624872853,197.47007277445306,14.395359037122544,70.86170503810015,142.16084223031567,0.0,0.006238730616660656,0.20858276235124415
KET,Barrington's nucleus,280,119.13618874968344,169.94624108359952,211.39234677157623,23.0327145279434,117.29208877523064,184.21555739922368,0.0,0.0019834114677244863,0.24871979805265057
KET,Suprachiasmatic nucleus,286,103.69878841543559,169.82320331369283,211.0964664006679,23.498135387483316,117.41802032142638,182.19447542599784,0.0,0.03418680129823296,0.2714388748647674
KET,Bed nucleus of the anterior commissure,287,172.296636326347,185.98281866051298,211.29303545693602,27.94736442558836,139.90765388858048,184.0778807636442,0.0,0.2319870176703931,0.44507753335737427
KET,Bed nucleus of the accessory olfactory tract,292,99.48787278053673,166.1098948648535,204.99027364868647,20.90831409216032,105.22478746347991,160.83569558708098,0.0,0.16339704291381177,0.350342589253516
KET,Superior colliculus motor related,294,151.88014566443493,188.90919914352827,206.50887752830573,25.140444114068064,133.6091586031161,164.08017399684704,0.0,0.012522538766678687,0.3107464839523981
KET,Basolateral amygdalar nucleus,295,169.7057311437611,187.03631991993646,208.50186324244746,25.850151183465947,135.10167010835335,170.72006185047258,0.0,3.606202668589975e-05,0.40858276235124413
KET,Magnocellular nucleus,298,168.25376865001436,186.52288595482332,211.3845150482934,27.779926631738263,134.21353446027175,184.2285406939523,0.0,0.20689505950234402,0.43645870897944467
KET,Superior colliculus sensory related,302,154.4097428269273,178.53860795865683,209.2828427796644,25.317722738025076,127.14875515627851,175.2489369473636,5.409304002884962e-05,0.3389830508474576,0.39574468085106385
KET,Basomedial amygdalar nucleus,319,171.75431049629273,188.7836709644256,208.7266717138544,27.14445448605181,144.49456481056205,172.87108496210908,0.0,0.39448250991705736,0.4767039307609088
KET,Suprageniculate nucleus,325,174.40713546029295,187.7570849607087,211.35887533247478,28.34225734690201,140.38071709621056,184.38176012724023,0.0,0.4008294266137757,0.4739632167327804
KET,Primary somatosensory area barrel field,329,171.32068957323267,187.7251119791933,211.31785266869718,28.14186002833979,136.92952690743604,183.66834346559617,0.001009736747205193,0.3970429138117562,0.46112513523260007
KET,Accessory supraoptic group,332,174.37687717828175,188.85062540989838,211.14098876144533,29.120070864568447,144.26449749240973,183.244355637222,0.0,0.0048395239812477455,0.33804543815362426
